"Dates","BE","CH","CZ","DE_AT","DK1","DK2","ES","FR","NL"
"20171208 - H1",53.2,61.32,22,13.45,13.45,13.45,60.07,58.15,57.74
"20171208 - H2",19.71,58.52,21.28,12.2,12.2,12.2,57.04,57.04,35.1
"20171208 - H3",15.64,57.09,19.2,10.5,10.5,10.5,56.08,56.08,26.69
"20171208 - H4",36.84,56.8,21.73,18.93,18.93,18.93,50.93,40.11,34.9
"20171208 - H5",35.12,56.59,25,24.56,24.56,24.56,49.92,35.25,35
"20171208 - H6",38.5,57.1,29.4,23.05,23.05,23.05,49.92,43.47,34.5
"20171208 - H7",47.76,59.57,37.7,35.88,28.63,28.63,58,58,39.5
"20171208 - H8",54.9,64,44,37.7,30.34,30.34,66.08,66.08,44.63
"20171208 - H9",64.67,66.84,44.49,46.04,30.7,30.7,68.2,68.2,60.82
"20171208 - H10",69.37,67.87,43,43.93,30.15,30.15,69.94,69.94,64.9
"20171208 - H11",70,67.86,42.1,37.99,29.93,29.93,70.51,70.51,63.82
"20171208 - H12",55,67.47,43,41.51,29.72,29.72,70.62,70.62,41.59
"20171208 - H13",51.05,66.1,44,34.21,29.3,29.3,71.01,71.01,44.98
"20171208 - H14",49.03,64.64,44,32.1,29.09,29.09,67.9,67.9,43.12
"20171208 - H15",47.38,62.96,43.72,32.17,29.03,29.03,63.56,63.56,40.4
"20171208 - H16",49.9,64.55,46,37.98,29.22,29.22,62.2,62.2,43.63
"20171208 - H17",52.69,66.22,46,41.57,29.73,29.73,65.36,65.36,48.77
"20171208 - H18",75.24,69.97,44.94,40.73,29.82,29.82,71.69,71.69,71.19
"20171208 - H19",71.31,73.57,41.68,39.96,29.54,29.54,78.66,78.66,55.9
"20171208 - H20",56.19,72.59,39,38.57,28.88,28.88,79.45,79.45,43
"20171208 - H21",54.76,70.23,37.12,32.32,28.21,28.21,80.59,73.81,43.5
"20171208 - H22",50.03,65.62,34,28,27.81,27.81,80,67.9,40
"20171208 - H23",48.84,65.06,29,23.1,23.1,23.1,74.26,67.21,42.5
"20171208 - H24",50.38,63.42,21.96,9.29,9.29,9.29,66.87,66.87,39.9
"20171209 - H1",67.71,63.77,10.92,15.03,15.03,15.03,67.71,67.71,38.8
"20171209 - H2",51.7,60.08,10,12.51,12.51,12.51,60.58,60.58,38
"20171209 - H3",42.2,59.01,12.73,10.31,10.31,10.31,57.99,57.99,33.9
"20171209 - H4",38.5,57.24,12.96,9.26,9.26,9.26,56,56,33.5
"20171209 - H5",36.61,55.95,10.78,9.12,9.12,9.12,55.54,55.54,33.5
"20171209 - H6",40.5,57.48,10.58,8.92,8.92,8.92,56.69,56.69,35
"20171209 - H7",41.3,59.87,10.97,10.06,10.06,10.06,59.76,59.76,40
"20171209 - H8",40.3,65.77,20.43,12.15,12.15,12.15,64.7,64.7,40.3
"20171209 - H9",51.7,67.76,31.58,12.41,12.41,12.41,69.46,69.46,51.7
"20171209 - H10",55.73,68.07,33.12,18.07,18.07,18.07,75.42,75.42,55.73
"20171209 - H11",66.85,69.01,34,18.96,18.96,18.96,76.81,76.81,66.72
"20171209 - H12",60.1,68.02,34,16.25,16.25,16.25,74.33,74.33,60.1
"20171209 - H13",42.76,67.76,32.4,15.03,15.03,15.03,73.62,73.62,41
"20171209 - H14",41.28,65.27,34,12.39,12.39,12.39,71.7,71.7,40.3
"20171209 - H15",40,63.2,35,12.53,12.53,12.53,68.02,68.02,40
"20171209 - H16",40.73,64.07,35.65,19.41,19.41,19.41,65.08,65.08,35
"20171209 - H17",55.26,67.62,41,26.51,26.51,28.3,67.7,67.7,60.2
"20171209 - H18",72.71,72.54,35,31.67,31.67,29.88,73.62,73.62,73.1
"20171209 - H19",67,75.38,32.4,28.45,28.45,28.45,82.92,82.92,65.2
"20171209 - H20",71.32,74.19,32,24.56,27.79,27.79,83.11,83.11,42.6
"20171209 - H21",47.17,70.09,29.6,15.8,24.01,24.01,76.89,76.89,50
"20171209 - H22",49.36,67.78,14.9,13.01,20.76,20.76,70.97,70.97,40.4
"20171209 - H23",51.7,67.72,14.43,15.04,15.04,15.04,69.19,69.19,44.9
"20171209 - H24",64.4,65.45,7.7,10.16,10.16,10.16,64.4,64.4,40.4
"20171210 - H1",60.15,64.19,10.28,14.31,14.31,14.31,55.79,60.15,59.73
"20171210 - H2",58.52,59.65,8.64,10.92,10.92,10.92,54.72,58.52,39.6
"20171210 - H3",56.36,57.13,7.78,10.17,10.17,10.17,52.44,56.36,38.2
"20171210 - H4",37.67,56.59,8,12.09,12.09,12.09,49.39,52.41,37.67
"20171210 - H5",40,56.19,10.27,15.06,15.06,15.06,40,40,40.1
"20171210 - H6",38,56.52,10.14,12.23,19.92,19.92,38,38,39.6
"20171210 - H7",35.4,55.92,11.68,12.28,27.39,27.39,25.13,25.13,40.64
"20171210 - H8",36.49,57.58,14.5,20.68,27.43,27.43,29.48,29.48,44.06
